,IFTA 2 QUARTER 2021,
STATE,TOTAL MILES,TOTAL GALLONS
AL,6277,709
AZ,29,0
AR,6173,1543
CA,0,0
CO,494,105
CT,4159,420
DE,869,0
FL,6894,854
GA,29038,5813
IA,14233,3185
ID,148,0
IL,71579,12608
IN,90066,16222
KS,2533,99
KY,47496,12564
LA,970,348
MA,3592,625
MD,6317,1052
ME,544,0
MI,23285,3297
MN,6997,0
MO,15799,3726
MS,3280,247
MT,1362,261
NC,12396,1678
ND,472,98
NE,1418,288
NH,185,0
NJ,6381,1778
NM,0,0
NV,97,0
NY,29219,4327
OH,97852,16502
OK,473,0
PA,58338,6633
RI,395,0
SC,8063,1282
SD,2907,239
TN,37469,5672
TX,2475,194
UT,483,0
VA,20967,4220
VT,247,0
WA,368,0
WI,30468,4794
WV,12055,1137
WY,198,0
TOTAL,665060,112520
