"ZONE_NAME","SITE_NAME","3"
RIFT,AKIRIAMET,367
BUNGOMA,AMAGORO_ATC,3655
BUNGOMA,AMBIRA,1976
BUNGOMA,AMUKURA,5479
WESTERN,ANEKO_NYATHIKA,1412
WESTERN,ASUMBI,3488
NAIROBI WEST,BARTIMARO,946
BUNGOMA,BUHURU,3957
BUNGOMA,BUNGOMA_SOUTH_ATC,4391
BUNGOMA,BUSIBWABO,3532
RIFT,CHEBARA,643
RIFT,CHEMUSWO,1512
RIFT,CHEPKONO,2262
RIFT,CHEPKUNYUK,2361
WESTERN,CHEPTALAL,3533
RIFT,CHERANGANYI,6677
COAST,DIANI_SOUTH,991
ABERDARE,EBURRU_TKL,1419
BUNGOMA,EKITALE,2692
RIFT,ELDORET_KIPKAREN,3949
ABERDARE,ELEMENTAITA,2919
WESTERN,ETAGO,5939
EASTERN,GARISSA_TOWN,3320
MERU,GATITHINE,1149
MERU,GATUMBIRO,1883
ABERDARE,GICHAKA,1997
NAIROBI WEST,GITARU_RIKUBI,2922
WESTERN,GOD_OYARO_2,1618
BUNGOMA,GOT_KACHIENG,2176
WESTERN,GOT_NYABISAWA,2915
ABERDARE,GWA_KUNGU,2960
COAST,HINDI,962
MERU,IGANE,5245
MERU,IGOJI_NEW_ATC,5445
NAIROBI EAST,IKINU,4194
EASTERN,IKOMBE,6145
RIFT,ILEHO,1679
EASTERN,ILTOROTO,942
MERU,IRIAITUNE,1701
MERU,ISHIARA,2659
MERU,ISIOLO_KULA_MAWE,363
NAIROBI CENTRAL,KABETE_NDONGORO,804
MERU,KADONGU,3132
WESTERN,KAJULU_OSIEPE,3288
BUNGOMA,KAKAMEGA_SOUTH,4170
BUNGOMA,KAKAMEGA_WEST,2743
NAIROBI EAST,KALIMONI_KENYATTA_ROAD_NEW,5269
MERU,KAMBURU,3475
NAIROBI WEST,KAMUNGU,2031
NAIROBI EAST,KANGANGU,1110
RIFT,KAPENGURIA_COUNTY_OFFICES,2361
WESTERN,KAPKATET,2572
RIFT,KAPKONDOT,1314
BUNGOMA,KAPSAKWONY,4403
RIFT,KAPSANGAR,1944
