0.005,0.0005,,,
0.006,0.0006,,,
0.01,0.001,,,
0.033,0.0033,,,
0.054,0.0054,,,
0.097,0.0097,,,
0.179,0.0179,,,
0.203,0.0203,,,
0.238,0.0238,,,
0.292,0.0292,,,
0.346,0.0346,,,
0.349,0.0349,,,
0.352,0.0352,,,
0.353,0.0353,,,
0.357,0.0357,,,
0.367,0.0367,,,
0.367,0.0367,,,
0.368,0.0368,,,
0.369,0.0369,,,
0.371,0.0371,,,
0.373,0.0373,,,
0.373,0.0373,,,
0.374,0.0374,,,
0.376,0.0376,,,
0.378,0.0378,,,
0.379,0.0379,,,
0.379,0.0379,,,
0.381,0.0381,,,
0.382,0.0382,,,
0.383,0.0383,,,
0.386,0.0386,,,
0.39,0.039,,,
0.391,0.0391,,,
0.391,0.0391,,,
0.392,0.0392,,,
0.392,0.0392,,,
0.393,0.0393,,,
0.395,0.0395,,,
0.395,0.0395,,,
0.396,0.0396,,,
0.396,0.0396,,,
0.397,0.0397,,,
0.398,0.0398,,,
0.398,0.0398,,,
0.399,0.0399,,,
0.4,0.04,,,
0.4,0.04,,,
0.4,0.04,,,
0.4,0.04,,,
0.401,0.0401,,,
0.401,0.0401,,,
0.401,0.0401,,,
0.402,0.0402,,,
0.404,0.0404,,,
0.405,0.0405,,,
0.405,0.0405,,,
0.405,0.0405,,,
0.406,0.0406,,,
0.407,0.0407,,,
0.407,0.0407,,,
0.407,0.0407,,,
0.407,0.0407,,,
0.407,0.0407,,,
0.408,0.0408,,,
0.408,0.0408,,,
0.409,0.0409,,,
0.409,0.0409,,,
0.41,0.041,,,
0.41,0.041,,,
0.41,0.041,,,
0.41,0.041,,,
0.411,0.0411,,,
0.411,0.0411,,,
0.411,0.0411,,,
0.412,0.0412,,,
0.412,0.0412,,,
0.413,0.0413,,,
0.413,0.0413,,,
0.414,0.0414,,,
0.414,0.0414,,,
0.415,0.0415,,,
0.415,0.0415,,,
0.415,0.0415,,,
0.416,0.0416,,,
0.416,0.0416,,,
0.416,0.0416,,,
0.416,0.0416,,,
0.416,0.0416,,,
0.416,0.0416,,,
0.416,0.0416,,,
0.417,0.0417,,,
0.417,0.0417,,,
0.417,0.0417,,,
0.417,0.0417,,,
0.417,0.0417,,,
0.419,0.0419,,,
0.42,0.042,,,
0.421,0.0421,,,
0.421,0.0421,,,
0.422,0.0422,,,
0.422,0.0422,,,
0.422,0.0422,,,
