id,sales
3000888,7.364393394
3000889,1.529239507
3000890,3.662693041
3000891,2631.97744
3000892,0.045301487
3000893,498.2062605
3000894,13.79506929
3000895,1347.162409
3000896,701.5052503
3000897,277.3811556
3000898,159.5032336
3000899,116.5129075
3000900,4973.81086
3000901,17.64423604
3000902,1.417529097
3000903,33.10626143
3000904,23.25974797
3000905,0.138654239
3000906,268.2116469
3000907,12.1001905
3000908,7.579274719
3000909,8.457905842
3000910,83.60987973
3000911,4.083982004
3000912,332.8284343
3000913,310.6182992
3000914,6.247022143
3000915,9.378713684
3000916,295.2034502
3000917,66.29469565
3000918,671.1305209
3000919,4.373236513
3000920,14.28579208
3000921,3.380377361
3000922,0.211775343
3000923,1.101590341
3000924,1619.106549
3000925,1.125295719
3000926,305.5453202
3000927,7.339136679
3000928,828.1673765
3000929,430.6972921
3000930,169.6041757
3000931,97.03788095
3000932,70.5728007
3000933,3060.752034
3000934,9.708704818
3000935,0.280544884
3000936,19.22721237
3000937,13.16564473
3000938,1.067827253
3000939,163.9593758
3000940,6.295760006
3000941,3.512659482
3000942,4.053549616
3000943,50.31751651
3000944,1.360938135
3000945,203.7378242
3000946,190.0651433
3000947,2.692517497
3000948,4.620403969
3000949,180.5756778
3000950,39.65819432
3000951,411.9984423
3000952,1.539004796
3000953,7.641228315
3000954,10.68404501
3000955,2.979927135
3000956,5.796712746
3000957,3475.944549
3000958,1.020692871
3000959,658.7395509
3000960,19.17442695
3000961,1779.611145
3000962,927.1539598
3000963,367.1855197
3000964,211.5520223
3000965,154.7921586
3000966,6567.852847
3000967,24.25645819
3000968,2.832436565
3000969,44.67087545
3000970,31.67058414
3000971,1.143945937
3000972,355.0790735
3000973,16.93668888
3000974,10.96775151
3000975,12.12780279
3000976,111.3504929
3000977,6.35293798
3000978,440.3922215
3000979,411.0683164
3000980,9.208786606
3000981,13.34353974
3000982,390.7161859
3000983,88.48936155
3000984,887.050391
3000985,6.734838934
3000986,19.82232524
3000987,4.686817792
3000988,0.359139074
3000989,1.941428356
3000990,1951.247653
3000991,0.741432927
3000992,368.7227873
3000993,9.456169169
3000994,998.3564741
3000995,519.5007664
3000996,204.9464541
3000997,117.5215491
3000998,85.63750236
3000999,3688.083194
3001000,12.31092799
3001001,0.276288343
3001002,23.77843673
3001003,16.47570786
3001004,0.672197269
3001005,198.1458301
3001006,8.199151611
3001007,4.846185883
3001008,5.497828203
3001009,61.23476407
3001010,2.253879975
3001011,246.0692784
3001012,229.5969915
3001013,3.858112349
3001014,6.180751152
3001015,218.1644714
3001016,48.39284849
3001017,496.9731567
3001018,2.468407408
3001019,9.820116823
3001020,3.645269237
3001021,0.096017603
3001022,1.271874621
3001023,1686.450975
3001024,1.047464283
3001025,318.3550874
3001026,7.768382969
3001027,862.6746593
3001028,448.7029496
3001029,176.7701223
3001030,101.1911184
3001031,73.62729672
3001032,3187.948747
3001033,10.23632763
3001034,0.167642225
3001035,20.1500117
3001036,13.8367881
3001037,0.987609919
3001038,170.8909693
3001039,6.681688795
3001040,3.783043269
3001041,4.346389347
3001042,52.53108103
3001043,1.541989666
3001044,212.3208855
3001045,198.0805608
3001046,2.928851738
3001047,4.936777592
3001048,188.1971245
3001049,41.42921952
3001050,429.2277863
3001051,1.727449057
3001052,8.083016438
3001053,4.867505836
3001054,0.438099742
3001055,2.057582667
3001056,1997.184632
3001057,0.688342548
3001058,377.4605856
3001059,9.748966645
3001060,1021.894582
3001061,531.7827854
3001062,209.8344896
3001063,120.3545553
3001064,87.72103516
3001065,3774.846614
3001066,12.67083006
3001067,0.353301503
3001068,24.4078966
3001069,16.93350817
3001070,0.617479421
3001071,202.8740086
3001072,8.462401353
3001073,5.030620069
3001074,5.697580038
3001075,62.74468069
3001076,2.377378843
3001077,251.9239561
3001078,235.0644679
3001079,4.01932066
3001080,6.396555925
3001081,223.3632126
3001082,49.60090019
3001083,508.7256366
3001084,2.596949005
3001085,10.12146933
3001086,4.827501114
3001087,0.420617681
3001088,2.031865852
3001089,1987.014086
3001090,0.700096872
3001091,375.5260182
3001092,9.684140654
3001093,1016.683194
3001094,529.06352
3001095,208.7522681
3001096,119.7273217
3001097,87.25973652
3001098,3755.637006
3001099,12.59114696
3001100,0.336250624
3001101,24.26853283
3001102,16.83215019
3001103,0.629594071
3001104,201.8271797
3001105,8.404117294
3001106,4.989785944
3001107,5.653354552
3001108,62.4103819
3001109,2.350035928
3001110,250.6277179
3001111,233.8539569
3001112,3.983628793
3001113,6.348776284
3001114,222.2122001
3001115,49.33343494
3001116,506.1236123
3001117,2.568489619
3001118,10.05474924
3001119,4.416327662
3001120,0.240934898
3001121,1.76754527
3001122,1882.479963
3001123,0.820909261
3001124,355.6422971
3001125,9.017851142
3001126,963.1199108
3001127,501.1145755
3001128,197.6290616
3001129,113.2805367
3001130,82.51845231
3001131,3558.198292
3001132,11.77215434
3001133,0.160999587
3001134,22.83613485
3001135,15.79038047
3001136,0.754109925
3001137,191.0677436
3001138,7.805066562
3001139,4.570087777
3001140,5.198799565
3001141,58.97441784
3001142,2.069002082
3001143,237.3048218
3001144,221.4121753
