,IFTA 1 QUARTER 2020,
,,
STATE,TOTAL MILES,TOTAL GALLONS
AL,10165,1245
AZ,0,0
AR,11483,1776
CA,0,0
CO,0,0
CT,2977,485
DE,138,0
FL,7794,1023
GA,13257,2946
IA,21785,4450
ID,0,0
IL,58963,9819
IN,67733,16876
KS,4821,552
KY,17956,3525
LA,5727,1570
MA,1375,266
MD,4088,822
ME,0,0
MI,9947,1222
MN,16564,1207
MO,22029,5601
MS,4585,501
MT,0,0
NC,6112,708
ND,7214,2411
NE,3140,669
NH,135,0
NJ,3628,1420
NM,725,291
NV,0,0
NY,8343,754
OH,69007,17248
OK,6060,1008
PA,54970,2311
RI,478,0
SC,4146,1457
SD,8060,1890
TN,15142,2464
TX,14510,2430
UT,0,0
VA,9547,3019
VT,0,0
WA,0,0
WI,26714,3707
WV,7186,769
WY,0,0
526504,526504,96442
