,IFTA 4 QUARTER 2020,
,,
STATE,TOTAL MILES,TOTAL GALLONS
AL,15364,2518
AZ,359,0
AR,7463,1445
CA,1751,158
CO,1434,0
CT,5544,991
DE,1706,0
FL,6798,930
GA,28115,5151
IA,25608,5536
ID,1559,840
IL,114316,22681
IN,142029,23284
KS,2420,905
KY,46669,7805
LA,2295,431
MA,6526,790
MD,16383,2850
ME,696,0
MI,57279,7681
MN,28623,1306
MO,19728,2852
MS,4128,708
MT,704,75
NC,11563,1121
ND,1768,1747
NE,8563,1355
NH,697,40
NJ,10358,2115
NM,839,192
NV,1654,426
NY,38893,3777
OH,147969,33142
OK,3907,679
PA,89220,9158
RI,549,0
SC,10341,3081
SD,1424,194
TN,38561,6666
TX,9229,1260
UT,1627,184
VA,26309,5583
VT,565,0
WA,1298,146
WI,52392,8842
WV,14591,1367
WY,4096,1013
,1013910,171025
